X,T
0.000000,-3.141593
-0.042243,-3.057030
-0.084083,-2.972824
-0.125131,-2.889315
-0.165028,-2.806815
-0.203451,-2.725597
-0.240127,-2.645887
-0.274833,-2.567859
-0.307394,-2.491636
-0.337687,-2.417292
-0.365632,-2.344855
-0.391187,-2.274314
-0.414341,-2.205624
-0.435111,-2.138715
-0.453532,-2.073494
-0.469652,-2.009855
-0.483531,-1.947678
-0.495233,-1.886838
-0.504824,-1.827206
-0.512371,-1.768651
-0.517939,-1.711041
-0.521591,-1.654249
-0.523383,-1.598147
-0.523370,-1.542614
-0.521600,-1.487529
-0.518117,-1.432779
-0.512962,-1.378255
-0.506171,-1.323850
-0.497775,-1.269467
-0.487803,-1.215009
-0.476283,-1.160389
-0.463241,-1.105524
-0.448701,-1.050337
-0.432689,-0.994759
-0.415234,-0.938728
-0.396363,-0.882190
-0.376113,-0.825100
-0.354521,-0.767421
-0.331632,-0.709129
-0.307499,-0.650209
-0.282184,-0.590657
-0.255754,-0.530484
-0.228291,-0.469709
-0.199884,-0.408368
-0.170633,-0.346506
-0.140648,-0.284180
-0.110048,-0.221458
-0.078960,-0.158419
-0.047519,-0.095146
-0.015864,-0.031731
0.015864,0.031731
0.047519,0.095146
0.078960,0.158419
0.110048,0.221458
0.140648,0.284180
0.170633,0.346506
0.199884,0.408368
0.228291,0.469709
0.255754,0.530484
0.282184,0.590657
0.307499,0.650209
0.331632,0.709129
0.354521,0.767421
0.376113,0.825100
0.396363,0.882190
0.415234,0.938728
0.432689,0.994759
0.448701,1.050337
0.463241,1.105524
0.476283,1.160389
0.487803,1.215009
0.497775,1.269467
0.506171,1.323850
0.512962,1.378255
0.518117,1.432779
0.521600,1.487529
0.523370,1.542614
0.523383,1.598147
0.521591,1.654249
0.517939,1.711041
0.512371,1.768651
0.504824,1.827206
0.495233,1.886838
0.483531,1.947678
0.469652,2.009855
0.453532,2.073494
0.435111,2.138715
0.414341,2.205624
0.391187,2.274314
0.365632,2.344855
0.337687,2.417292
0.307394,2.491636
0.274833,2.567859
0.240127,2.645887
0.203451,2.725597
0.165028,2.806815
0.125131,2.889315
0.084083,2.972824
0.042243,3.057030
0.000000,3.141593
