X,T
-3.141593,0.000000
-2.920907,0.029857
-2.675616,0.124334
-2.380852,0.295587
-2.022914,0.549022
-1.627855,0.852997
-1.261083,1.138204
-0.966463,1.357932
-0.742574,1.511424
-0.570621,1.615708
-0.433412,1.686446
-0.318883,1.734268
-0.218967,1.765792
-0.128102,1.784986
-0.042177,1.794081
0.042177,1.794081
0.128102,1.784986
0.218967,1.765792
0.318883,1.734268
0.433412,1.686446
0.570621,1.615708
0.742574,1.511424
0.966463,1.357932
1.261083,1.138204
1.627855,0.852997
2.022914,0.549022
2.380852,0.295587
2.675616,0.124334
2.920907,0.029857
3.141593,0.000000
