X,T
0.000000,-3.141593
0.029857,-2.920907
0.124334,-2.675616
0.295587,-2.380852
0.549022,-2.022914
0.852997,-1.627855
1.138204,-1.261083
1.357932,-0.966463
1.511424,-0.742574
1.615708,-0.570621
1.686446,-0.433412
1.734268,-0.318883
1.765792,-0.218967
1.784986,-0.128102
1.794081,-0.042177
1.794081,0.042177
1.784986,0.128102
1.765792,0.218967
1.734268,0.318883
1.686446,0.433412
1.615708,0.570621
1.511424,0.742574
1.357932,0.966463
1.138204,1.261083
0.852997,1.627855
0.549022,2.022914
0.295587,2.380852
0.124334,2.675616
0.029857,2.920907
0.000000,3.141593
