R,T
-1.542896,1.546365
-1.539931,1.543770
-1.536653,1.540899
-1.533027,1.537724
-1.529016,1.534212
-1.524580,1.530329
-1.519674,1.526034
-1.514250,1.521286
-1.508252,1.516036
-1.501621,1.510232
-1.494291,1.503817
-1.486190,1.496729
-1.477238,1.488897
-1.467350,1.480248
-1.456430,1.470699
-1.444376,1.460161
-1.431076,1.448539
-1.416410,1.435729
-1.400249,1.421621
-1.382456,1.406100
-1.362887,1.389044
-1.341392,1.370329
-1.317817,1.349828
-1.292007,1.327420
-1.263812,1.302988
-1.233091,1.276430
-1.199719,1.247663
-1.163598,1.216635
-1.124662,1.183334
-1.082894,1.147797
-1.038330,1.110126
-0.991073,1.070493
-0.941299,1.029150
-0.889256,0.986431
-0.835265,0.942749
-0.779706,0.898589
-0.723005,0.854488
-0.665605,0.811017
-0.607949,0.768754
-0.550448,0.728259
-0.493460,0.690054
-0.437271,0.654604
-0.382088,0.622309
-0.328028,0.593498
-0.275128,0.568429
-0.223343,0.547302
-0.172563,0.530260
-0.122624,0.517404
-0.073314,0.508801
-0.024394,0.504491
0.024394,0.504491
0.073314,0.508801
0.122624,0.517404
0.172563,0.530260
0.223343,0.547302
0.275128,0.568429
0.328028,0.593498
0.382088,0.622309
0.437271,0.654604
0.493460,0.690054
0.550448,0.728259
0.607949,0.768754
0.665605,0.811017
0.723005,0.854488
0.779706,0.898589
0.835265,0.942749
0.889256,0.986431
0.941299,1.029150
0.991073,1.070493
1.038330,1.110126
1.082894,1.147797
1.124662,1.183334
1.163598,1.216635
1.199719,1.247663
1.233091,1.276430
1.263812,1.302988
1.292007,1.327420
1.317817,1.349828
1.341392,1.370329
1.362887,1.389044
1.382456,1.406100
1.400249,1.421621
1.416410,1.435729
1.431076,1.448539
1.444376,1.460161
1.456430,1.470699
1.467350,1.480248
1.477238,1.488897
1.486190,1.496729
1.494291,1.503817
1.501621,1.510232
1.508252,1.516036
1.514250,1.521286
1.519674,1.526034
1.524580,1.530329
1.529016,1.534212
1.533027,1.537724
1.536653,1.540899
1.539931,1.543770
1.542896,1.546365
