R,T
1.565645,-1.556370
1.565097,-1.554836
1.564492,-1.553140
1.563822,-1.551263
1.563080,-1.549188
1.562260,-1.546891
1.561354,-1.544351
1.560350,-1.541540
1.559241,-1.538432
1.558013,-1.534993
1.556655,-1.531188
1.555154,-1.526980
1.553493,-1.522326
1.551657,-1.517177
1.549626,-1.511482
1.547381,-1.505184
1.544898,-1.498218
1.542155,-1.490515
1.539122,-1.481997
1.535772,-1.472578
1.532071,-1.462166
1.527984,-1.450656
1.523473,-1.437936
1.518497,-1.423881
1.513011,-1.408356
1.506967,-1.391212
1.500315,-1.372289
1.493002,-1.351411
1.484973,-1.328391
1.476173,-1.303027
1.466548,-1.275106
1.456047,-1.244401
1.444625,-1.210679
1.432247,-1.173698
1.418892,-1.133217
1.404561,-1.089001
1.389284,-1.040827
1.373124,-0.988495
1.356193,-0.931842
1.338654,-0.870754
1.320732,-0.805176
1.302720,-0.735133
1.284974,-0.660734
1.267913,-0.582185
1.252002,-0.499793
1.237733,-0.413960
1.225594,-0.325179
1.216034,-0.234022
1.209431,-0.141123
1.206058,-0.047160
1.206058,0.047160
1.209431,0.141123
1.216034,0.234022
1.225594,0.325179
1.237733,0.413960
1.252002,0.499793
1.267913,0.582185
1.284974,0.660734
1.302720,0.735133
1.320732,0.805176
1.338654,0.870754
1.356193,0.931842
1.373124,0.988495
1.389284,1.040827
1.404561,1.089001
1.418892,1.133217
1.432247,1.173698
1.444625,1.210679
1.456047,1.244401
1.466548,1.275106
1.476173,1.303027
1.484973,1.328391
1.493002,1.351411
1.500315,1.372289
1.506967,1.391212
1.513011,1.408356
1.518497,1.423881
1.523473,1.437936
1.527984,1.450656
1.532071,1.462166
1.535772,1.472578
1.539122,1.481997
1.542155,1.490515
1.544898,1.498218
1.547381,1.505184
1.549626,1.511482
1.551657,1.517177
1.553493,1.522326
1.555154,1.526980
1.556655,1.531188
1.558013,1.534993
1.559241,1.538432
1.560350,1.541540
1.561354,1.544351
1.562260,1.546891
1.563080,1.549188
1.563822,1.551263
1.564492,1.553140
1.565097,1.554836
1.565645,1.556370
