R,T
1.046613,1.570793
1.046613,1.570768
1.046613,1.570716
1.046613,1.570638
1.046613,1.570533
1.046613,1.570400
1.046613,1.570238
1.046613,1.570048
1.046612,1.569828
1.046612,1.569578
1.046611,1.569297
1.046610,1.568984
1.046609,1.568640
1.046607,1.568262
1.046606,1.567850
1.046603,1.567403
1.046600,1.566921
1.046596,1.566403
1.046592,1.565848
1.046586,1.565254
1.046580,1.564621
1.046572,1.563949
1.046564,1.563235
1.046553,1.562478
1.046541,1.561679
1.046527,1.560835
1.046511,1.559945
1.046493,1.559008
1.046472,1.558023
1.046448,1.556988
1.046421,1.555902
1.046391,1.554764
1.046357,1.553571
1.046318,1.552323
1.046275,1.551017
1.046227,1.549651
1.046173,1.548225
1.046113,1.546735
1.046046,1.545180
1.045972,1.543558
1.045890,1.541865
1.045799,1.540101
1.045698,1.538262
1.045588,1.536346
1.045465,1.534349
1.045331,1.532270
1.045183,1.530104
1.045020,1.527848
1.044842,1.525499
1.044645,1.523053
1.044430,1.520507
1.044195,1.517855
1.043936,1.515093
1.043654,1.512217
1.043344,1.509222
1.043006,1.506101
1.042635,1.502849
1.042230,1.499459
1.041787,1.495925
1.041303,1.492240
1.040773,1.488395
1.040194,1.484382
1.039561,1.480191
1.038868,1.475813
1.038110,1.471237
1.037280,1.466450
1.036371,1.461439
1.035375,1.456191
1.034283,1.450689
1.033084,1.444915
1.031768,1.438851
1.030321,1.432476
1.028729,1.425764
1.026974,1.418690
1.025038,1.411223
1.022899,1.403329
1.020531,1.394971
1.017904,1.386104
1.014985,1.376677
1.011733,1.366633
1.008101,1.355904
1.004033,1.344411
0.999460,1.332062
0.994301,1.318744
0.988457,1.304327
0.981804,1.288646
0.974190,1.271504
0.965421,1.252652
0.955247,1.231776
0.943341,1.208467
0.929268,1.182190
0.912429,1.152218
0.891975,1.117532
0.866662,1.076658
0.834567,1.027344
0.792529,0.965926
0.734857,0.885872
0.649788,0.773789
0.505873,0.594053
0.000000,0.000000
