R,T
0.000000,0.000000
1.441395,1.344057
1.521745,1.377821
1.568331,1.384068
1.603628,1.381252
1.633685,1.373894
1.660974,1.363676
1.686740,1.351370
1.711701,1.337378
1.736307,1.321927
1.760863,1.305155
1.785583,1.287149
1.810622,1.267968
1.836091,1.247657
1.862074,1.226252
1.888630,1.203788
1.915794,1.180300
1.943587,1.155825
1.972013,1.130409
2.001059,1.104101
2.030700,1.076960
2.060896,1.049053
2.091595,1.020455
2.122733,0.991250
2.154236,0.961529
2.186022,0.931390
2.217998,0.900937
2.250068,0.870278
2.282133,0.839523
2.314089,0.808784
2.345834,0.778171
2.377269,0.747791
2.408299,0.717745
2.438832,0.688129
2.468787,0.659032
2.498088,0.630532
2.526671,0.602699
2.554477,0.575595
2.581462,0.549268
2.607586,0.523760
2.632824,0.499101
2.657154,0.475314
2.680565,0.452413
2.703054,0.430403
2.724622,0.409285
2.745278,0.389053
2.765035,0.369695
2.783909,0.351196
2.801921,0.333536
2.819095,0.316695
2.835456,0.300648
2.851031,0.285369
2.865847,0.270831
2.879934,0.257007
2.893322,0.243868
2.906038,0.231385
2.918113,0.219532
2.929574,0.208279
2.940451,0.197599
2.950770,0.187466
2.960558,0.177854
2.969842,0.168737
2.978645,0.160091
2.986992,0.151893
2.994906,0.144119
3.002409,0.136749
3.009522,0.129762
3.016265,0.123138
3.022657,0.116859
3.028717,0.110906
3.034462,0.105262
3.039908,0.099911
3.045072,0.094838
3.049967,0.090029
3.054609,0.085468
3.059010,0.081144
3.063183,0.077044
3.067141,0.073155
3.070895,0.069467
3.074454,0.065970
3.077831,0.062652
3.081034,0.059505
3.084072,0.056520
3.086954,0.053688
3.089689,0.051001
3.092284,0.048451
3.094746,0.046032
3.097083,0.043736
3.099300,0.041557
3.101405,0.039489
3.103403,0.037526
3.105299,0.035662
3.107100,0.033893
3.108809,0.032214
3.110432,0.030619
3.111973,0.029105
3.113436,0.027667
3.114826,0.026302
3.116145,0.025005
3.117399,0.023773
