X,T
-0.000000,-3.141593
-0.139773,-2.966552
-0.272377,-2.798632
-0.392440,-2.643154
-0.497180,-2.502850
-0.586113,-2.378155
-0.660232,-2.268025
-0.721222,-2.170719
-0.770943,-2.084329
-0.811141,-2.007049
-0.843342,-1.937297
-0.868825,-1.873737
-0.888639,-1.815256
-0.903636,-1.760941
-0.914499,-1.710038
-0.921783,-1.661927
-0.925929,-1.616090
-0.927294,-1.572095
-0.926163,-1.529575
-0.922765,-1.488217
-0.917281,-1.447750
-0.909854,-1.407936
-0.900595,-1.368565
-0.889589,-1.329448
-0.876899,-1.290412
-0.862567,-1.251300
-0.846621,-1.211965
-0.829074,-1.172268
-0.809928,-1.132079
-0.789175,-1.091274
-0.766797,-1.049733
-0.742773,-1.007344
-0.717075,-0.963999
-0.689673,-0.919595
-0.660536,-0.874036
-0.629636,-0.827236
-0.596948,-0.779116
-0.562454,-0.729611
-0.526149,-0.678671
-0.488039,-0.626260
-0.448150,-0.572367
-0.406525,-0.517001
-0.363237,-0.460199
-0.318380,-0.402028
-0.272082,-0.342583
-0.224497,-0.281992
-0.175811,-0.220414
-0.126236,-0.158034
-0.076008,-0.095062
-0.025381,-0.031728
0.025381,0.031728
0.076008,0.095062
0.126236,0.158034
0.175811,0.220414
0.224497,0.281992
0.272082,0.342583
0.318380,0.402028
0.363237,0.460199
0.406525,0.517001
0.448150,0.572367
0.488039,0.626260
0.526149,0.678671
0.562454,0.729611
0.596948,0.779116
0.629636,0.827236
0.660536,0.874036
0.689673,0.919595
0.717075,0.963999
0.742773,1.007344
0.766797,1.049733
0.789175,1.091274
0.809928,1.132079
0.829074,1.172268
0.846621,1.211965
0.862567,1.251300
0.876899,1.290412
0.889589,1.329448
0.900595,1.368565
0.909854,1.407936
0.917281,1.447750
0.922765,1.488217
0.926163,1.529575
0.927294,1.572095
0.925929,1.616090
0.921783,1.661927
0.914499,1.710038
0.903636,1.760941
0.888639,1.815256
0.868825,1.873737
0.843342,1.937297
0.811141,2.007049
0.770943,2.084329
0.721222,2.170719
0.660232,2.268025
0.586113,2.378155
0.497180,2.502850
0.392440,2.643154
0.272377,2.798632
0.139773,2.966552
0.000000,3.141593
